text,label,source_file
"Rory McIlroy: Muirfield women membership saga was 'obscene'

hey finally voted to accept women as members  but Rory McIlroy says the need for Muirfield golfers to have a second ballot on the issue was ""obscene"" and ""horrendous."" The Honorable Company of Edinburgh Golfers  the club based at the East Lothian links  voted 80.2% in favor of admitting women this week  overturning a ballot that ruled against changing its male-only policy last May. The course was removed from the British Open rota as a result  but reinstated again this week. ""In this day and age  where you've got women that are like the leaders of certain industries and women that are heads of state and not to be able to join a golf course? I mean  it's obscene. It's ridiculous  McIlroy told a news conference ahead of the Arnold Palmer Invitational event in Florida. So  they sort of saw sense. I still think that it got to this stage  is horrendous.""",real,data/raw\overall\overall\real\sports02.legit.txt
"Katie Holmes and Jamie Foxx Come Out As an Item, After 'Tom Cruise Ban' Expires

Now here’s something to really jump up and down on the couch for.

Hollywood’s worst-kept romantic secret—the relationship between Jamie Foxx and Katie Holmes—is finally out of the bag, after the couple was photographed walking hand in hand on the beach in Malibu on Labor Day, wearing matching fedoras no less.

They have repeatedly denied they are in a relationship over the past few years, despite incessant rumors and frequent sightings of them together.

Indeed, on one occasion, a friend of the couple, apparently unaware of the omerta, accidentally mentioned their relationship to media outlets, only to issue a hasty retraction.

The absurd level of secrecy, and their public appearance together this week, looks set to give credence to an extraordinary rumor first reported by the gossip site RadarOnline.

In September last year, Radar claimed that as part of her divorce settlement from Top Gun star Cruise, Holmes had agreed not to publicly date anyone until five years had passed following the end of her marriage.

“Katie signed a clause in her quickie divorce settlement that prevents her from embarrassing Tom in various ways, like talking about him or Scientology, or publicly dating another man for five years after the divorce,” the source claimed.

“She’s allowed to date, but she cannot do so in a public fashion, and she’s not supposed to let any boyfriend near their daughter, Suri,” the insider told Radar. “Katie wanted out of the marriage so badly, she agreed to the terms—and got $4.8 million in child support, plus another $5 million for herself.”

Cruise and Holmes agreed to a divorce settlement in just 10 days, with the pact reportedly stipulating Suri would not have any contact with Cruise’s religion, Scientology.

However, had Holmes broken the rules about “embarrassing” Cruise, she could have lost the money, the source alleged.

If true, that five-year period would have ended in June—which may explain why the couple has now come out.

Remarkably, most observers believe Foxx and Holmes have been together since 2013—about a year after her split from Tom Cruise—when they were photographed dancing together at a charity bash in The Hamptons.

But they have largely avoided being photographed together and consistently denied they are a couple since then.

There have been a few slips; for example, Katie was seen with a ring on her finger in March 2016, but Foxx’s rep said it wasn’t from him.

It was claimed the two met at each other’s homes and that Katie sometimes disguised herself with wigs and hats to meet up with Foxx without being noticed.

In March 2015, a photo surfaced showing the two stars sitting in a recording studio holding hands.

Jamie is seen reclining in his chair, holding Katie’s hand and gazing at her, with his legs subtly intertwining hers. The actress sat with her legs crossed and staring at her phone, with her foot is resting on one of Jamie’s, while his other foot sneaks around her calf.

Foxx denied reports of romance, insisting the two were “just friends.”

In December 2015, Holmes was a guest at Jamie’s surprise birthday party in New York at La Bilboquet restaurant.

And soon after, she was spotted at The Honor Bar in Beverly Hills with the actor’s youngest daughter, Annalise.

In June 2016, there seemed to be the first public confirmation that Foxx and Holmes were, indeed, in a relationship when former Real Housewives of Atlanta star Claudia Jordan, a friend, said they were dating.

“He is very happy with her. I like that he seems very happy,” Claudia said during an interview for the Allegedly podcast.

However, Jordan quickly retracted, telling Entertainment Tonight the day after the podcast reveal that she had “no knowledge of Jamie with Katie at all.”

“I’ve never seen them together. He’s never told me he’s dating her,” she said.

In April this year, a restaurant customer snapped a photo of them having dinner in New York, and in May they were spotted separately boarding the same private jet at Le Bourget Airport in Paris. They were photographed leaving the Park Hyatt Vendome hotel separately.

To make it impossible to get photo evidence that they are together, they traveled “in cars with tinted windows and took secret back elevators,” Us Weekly reported in April.

The couple is said to be exhausted by the need for secrecy, and is doubtless thrilled that the long and allegedly controlling shadow of Tom Cruise will no longer be a presence in their lives.",fake,data/raw\overall\overall\celebrityDataset\fake\138fake.txt
"Dying seven year old Jessica Mydek's last wish to raise money for American Cancer Society using a chain letter
Cancer research money, guys . . . not much effort.LITTLE JESSICA MYDEK IS SEVEN YEARS OLD AND IS SUFFERING FROM AN ACUTE AND VERY RARE CASE OF CEREBRAL CARCINOMA. THIS CONDITION CAUSES SEVERE MALIGNANT BRAIN TUMORS AND IS A TERMINAL ILLNESS. THE DOCTORS HAVE GIVEN HER SIX MONTHS TO LIVE.

AS PART OF HER DYING WISH, SHE WANTED TO START A CHAIN LETTER TO INFORM PEOPLE OF THIS CONDITION AND TO SEND PEOPLE THE MESSAGE TO LIVE LIFE TO THE FULLEST AND ENJOY EVERY MOMENT, A CHANCE THAT SHE WILL NEVER HAVE. FURTHERMORE, THE AMERICAN CANCER SOCIETY AND SEVERAL CORPORATE SPONSORS HAVE AGREED TO DONATE THREE CENTS TOWARD CONTINUING CANCER RESEARCH FOR EVERY NEW PERSON THAT GETS FORWARDED THIS MESSAGE. PLEASE GIVE JESSICA AND ALL CANCER VICTIMS A CHANCE.

SEND A COPY OF THIS TO EVERYONE YOU KNOW AND ONE TO THE AMERICAN CANCER SOCIETY AT ACS@AOL.COM.",fake,data/raw\overall\overall\fake\22.txt
"Angelina Jolie's French Obsession

Angelina Jolie is going back to her roots — and demanding everyone around her speak French!

A snitch told The National ENQUIRER the 41-year-old mother of six, whose maternal grandfather was French-Canadian, has become obsessed with all things French — and has made sure the children she shares with her ex Brad Pitt are fluent in the language as well!

“Angie is extremely sentimental at the moment — meeting up with her estranged dad after years is proof of that,” disclosed a confidant. “But this French thing, it’s all about trying to feel close to her late mother.”

While those in Angie’s camp are sympathetic, they’re also annoyed with her new linguistic preference because most of them don’t speak the language — and don’t plan on learning it anytime soon!

“It’s driving everyone crazy, but she’s trying to find something to cling to right now — and her mother’s heritage is it,” spilled another tipster. “The problem is she comes across as someone completely out of touch — and selfish!”",fake,data/raw\overall\overall\celebrityDataset\fake\216fake.txt
"(EXCLUSIVE) Usher Cast On 'Dancing With The Stars'

theJasmineBRAND.com exclusively reports, Usher has allegedly been cast on the upcoming season of Dancing With the Stars. Sources tell us the 38-year-old singer and actor will be on season 24 of ABC's hit dancing competition show.

The producers and network are keeping it top secret, but this is major! They wanted an A-lister and he's one of the biggest names in the industry. Not to mention, Usher is an amazing dancer.

We hear that Usher has already began shooting promos for the show. The network and producers are still working on finalizing other big names for the new season.

Dancing with the Stars is an dance competition TV series that premiered on June 1, 2005, on ABC. The show is the American version of the British television series Strictly Come Dancing. The format of the show consists of a celebrity paired with a professional dancer. Each couple performs predetermined dances and competes against the others for judges' points and audience votes. The couple receiving the lowest combined total of judges' points and audience votes is eliminated each week until only the champion dance pair remains.

What do you think of Usher joining DWTS?",fake,data/raw\overall\overall\celebrityDataset\fake\031fake.txt
"Fat shaming kept Emma Thompson out of Los Angeles

Despite her fame as an actress, Emma Thompson never moved to Los Angeles, where the Hollywood elite work and buy expensive homes in gated communities.  Why?  Because she felt she was too fat.  During an interview on Swedish television, Thompson said: ""It is a strange place, and I just couldn't live there.""  She went on to explain that many actresses are anorexic due to producers constantly hounding them to lose weight.  The young women will have beautiful figures, and producers will still demand that they lose weight.  They simply don't eat so they can find work.  Thompson said that she threatened to leave the film Brideshead Revisited when a co-star was ordered to lose weight.  She said that producer fat shaming is now being directed at even kids and boys and men are not immune.  The fat shaming continues until a star is in their 30s.  By then many have developed permanent eating disorders.",fake,data/raw\overall\overall\fake\entmt02.fake.txt
"Did Taylor Swift Leak Her Romance With Joe Alwyn for Publicity?

Is Taylor Swift thirsty for attention? The 27-year-old singer reportedly leaked her secret romance with Joe Alwyn for publicity. Taylor was said to have made the British actor feel ""stupid"" by telling the media about their relationship.According to National Enquirer, Taylor was ""using her personal life... to score much-needed positive buzz"" after her messy breakup with Tom Hiddleston . Joe was shocked when he found out about what Taylor did. ""Joe feels stupid after news broke about him and Taylor. Everyone told him she wouldn’t use him for press,"" a source told the publication. ""Then her camp leaked the news in preparation for her upcoming album,"" the source added.The magazine further claimed that Taylor's relationship with Tom was a ""massive publicity stunt."" The ""Wildest Dream"" songstress was said to have ""staged her relationship"" with the "" Kong: Skull Island "" star then ""went into hiding after her 'fauxmance' with [him].""Last month, Taylor and Joe were revealed to be dating after the ""Bad Blood"" singer was believed to have been walking around London with "" The Favourite "" actor in disguise. A few weeks later, the two were spotted together for the first time as they were boarding a private jet together. They later spent time together in Nashville, where Taylor's family lives. Her mother was said to have approved of their relationship. ""Taylor's mom is super sweet. She totally approves of their relationship,"" an insider shared.",fake,data/raw\overall\overall\celebrityDataset\fake\248fake.txt
"STRANGE !!! WOMAN Gives BIRTH To 11 Baby Boys At ONCE
An Indian Woman gave birth to eleven 11 kids baby boys few days ago. Resources have been told that few of them were test tubes babies but it really seems strange at once. It was also rumored that 6 were twins. Doctors were really surprised, shocked and glad to have successful delivery. Well it’s a blessing of God who give 11 baby boys to one woman. 21st century record of 2012 year.",fake,data/raw\overall\overall\fake\17.txt
"Chelsea make Arsenal's Alexis Sánchez their No1 summer transfer target

Chelsea have made Arsenal's Alexis Sánchez their main summer transfer target and Antonio Conte has discussed the possibility of bringing the Chilean to Stamford Bridge with the club's hierarchy. The Italian manager is in talks with Chelsea over a new contract and  as part of that  summer transfers have been discussed. Conte has submitted to the club's recruitment team  effectively headed by the director Marina Granovskaia and technical director  Michael Emenalo  a list of players he would like to sign  with Sánchez and a left-sided defender among the priorities.",real,data/raw\overall\overall\real\sports27.legit.txt
"Nestlé USA Announces Voluntary Recall of HOT POCKETS® brand Philly Steak and Cheese
GLENDALE,Feb 18, 2014
 
Nestlé USA Has issued a voluntary recall of HOT POCKETS® brand Philly Steak and Cheese in three different pack sizes and HOT POCKETS® brand Croissant Crust Philly Steak and Cheese, in the two pack box
Friday, February 14, 2014 – Nestlé USA’s Prepared Foods Division today announced the voluntary recall of HOT POCKETS® brand Philly Steak and Cheese in three different pack sizes and HOT POCKETS® brand Croissant Crust Philly Steak and Cheese, in the two pack box.  

The voluntary recall is limited to these two products, which were distributed nationwide. No other batches, sizes, including multi-packs, or varieties of HOT POCKETS® brand products are affected by this recall. The reason is due to the recall announced last week by Rancho Feeding Corporation which affects many companies.  Our teams at Nestlé have reviewed our vendor records and have determined that one Nestlé brand has been impacted by the Rancho meat recall.
While Nestlé did not purchase meat directly from Rancho, our procurement teams worked with our supply chain to understand whether any company in this chain may have purchased meat from Rancho Feeding at any time during 2013, the period of time covered by the Rancho Feeding recall.

From this review, we have confirmed that a small quantity of meat from Rancho was used at Nestlé’s Chatsworth, California production operation, a facility devoted entirely to HOT POCKETS® brand sandwiches.  The affected batches of the two varieties in our range of HOT POCKETS® brand sandwiches are being removed from the marketplace.

Consumers who may have purchased the affected batches of HOT POCKETS® brand Philly Steak and Cheese should not consume the product, but instead should return it to the place of purchase for a full refund or contact Nestlé Consumer Services at (800) 392-4057.
USDA notes that no illnesses have been reported in relation to the Rancho Feeding Recall.",real,data/raw\overall\overall\real\12.txt
"Maria Sharapova admits she doped

""Maria Sharapova said she feels relieved after admitting Sunday that she had participated in doping. Russia's former world No1 was initially barred for two years after testing positive at the 2016 Australian Open for meldonium a medication she had been taking for 10 years within the rules but that was reclassified as a banned drug. She will not return at April's Porsche Grand Prix.  Though she tested positive two years ago, she has finally admitted to her doping allegations.""",fake,data/raw\overall\overall\fake\sports26.fake.txt
"Does Madonna Want To Send Rebellious Rocco To Military School?

The reason why Madonna's son Rocco bolted for his father's home is becoming clearer. It seems that Madonna is a bit more strict at home than one would imagine, and she wants to send son Rocco to military school. Rocco Ritchie, 15, does not want to go, and while on tour with Madonna, he ran off to live with his father.

According to the Inquisitr, Madonna says that Guy Ritchie is trash-talking her to Rocco, but Rocco insists that his mother is controlling and uses him as a trophy. Also, rather than being in school in New York, he is dragged along on her tour and put to work. He has had enough and wants to live with his father. This is a struggle that many divorced parents face, but Madonna feels that she is above this and went right to a judge, but Rocco is refusing to come back to the U.S.

Radar Online is reporting that Madonna is taking her controlling manner to a new level by trying to get Rocco into military school.

""Madonna is a very good mother, but she's mega controlling,"" a source close to the pop icon, 57, told Radar. ""She actively tells him what he can and can't do, who he can and can't talk to.""

But Madonna thinks that military school will straighten Rocco out, but Rocco wants a normal life with Guy Ritchie in the U.K.

""He's not being dragged around like a dancing puppet [when he's in London],"" a source told the publication. ""He can meet his friends, eat fast food, he doesn't have an early curfew. The story is his father manipulated him, which couldn't be farther from the truth. Rocco has a life and friends [in the U.K.] and he can have girlfriends and be in one place.""

The judge had ruled that Rocco should be back by Christmas but is now insisting that he is back before school starts in January

The New York Daily News has mentioned that Madonna is a meddling mama, and Rocco is over it. A source says that life in London is easier for Rocco at this point in his life.

Madonna thinks she can provide a better life for Rocco, and that Guy Ritchie's life is boring.

""(Madonna) is impossible to work with and impossible to live with for a 15-year-old boy. He has no freedom under her. She tells him he's going away to school,"" says the source. ""His life (in London) is not strict, he's not Madonna's son, he's more like a regular teen. Guy lives a very normal life, Rocco is not on movie sets, if he doesn't want to be there.""

Rocco desperately wants to enroll in school in London and come back to New York in the future to visit. Over the weekend, Rocco was seen skateboarding around the Ritchie neighborhood and simply hanging out with friends.

There is no indication whether Rocco plans to return to New York for a hearing with the judge or if he will fight it from London with his father.

Do you think it would be best if Madonna would just give Rocco time with his father?",fake,data/raw\overall\overall\celebrityDataset\fake\064fake.txt
